Annotation	lhs	op	rhs	Cov_Smooth	Z_smooth	Enrichment	Enrichment_SE	Enrichment_p_value	Error	Warning	target_parameter	est	SE	Fixed_Enrich	annotation_raw	annotation_key	annotation_basename	annotation_class	published_label	is_nonbase	alpha_168	alpha_155	Bonferroni_significant_168	Bonferroni_significant_155	Annotation_model_warning	Annotation_model_error	alpha_984	Bonferroni_significant_984	QC_warning_free	Bonferroni_significant_984_warning_free
baseL2	F_COMP	~~	SCZ_PGC	0.0044864578534601	0.553055486273601	1.00000035110696	0.146276551520041	0.499999042420612	0.0	0	F_COMP~~SCZ_PGC				baseL2	base	baseL2	baseline		True	0.000297619047619	0.0003225806451612	False	False	False	False	5.08130081300813e-05	False	True	False
Coding_UCSCL2	F_COMP	~~	SCZ_PGC	0.0022827755901907	1.08387405548914	2.22487658253514	2.48457632515217	0.311009072960124	0.0	"lavaan->lav_object_post_check():  
   some estimated ov variances are negative"	F_COMP~~SCZ_PGC				Coding_UCSCL2	Coding_UCSC	Coding_UCSCL2	baseline		True	0.000297619047619	0.0003225806451612	False	False	True	False	5.08130081300813e-05	False	False	False
Conserved_LindbladTohL2	F_COMP	~~	SCZ_PGC	0.0012163362979743	0.886434994517113	6.21240515320229	2.43855345025142	0.0162787202831689	0.0	0	F_COMP~~SCZ_PGC				Conserved_LindbladTohL2	Conserved_LindbladToh	Conserved_LindbladTohL2	baseline		True	0.000297619047619	0.0003225806451612	False	False	False	False	5.08130081300813e-05	False	True	False
CTCF_HoffmanL2	F_COMP	~~	SCZ_PGC	0.0059946659506555	2.24458351170558	2.65617480687308	1.17457896077922	0.0792675196222967	0.0	0	F_COMP~~SCZ_PGC				CTCF_HoffmanL2	CTCF_Hoffman	CTCF_HoffmanL2	baseline		True	0.000297619047619	0.0003225806451612	False	False	False	False	5.08130081300813e-05	False	True	False
DGF_ENCODEL2	F_COMP	~~	SCZ_PGC	0.0113375495533006	1.99245506590914	3.03520485990477	0.60244632499925	0.0003647644231146	0.0	"lavaan->lav_object_post_check():  
   some estimated ov variances are negative"	F_COMP~~SCZ_PGC				DGF_ENCODEL2	DGF_ENCODE	DGF_ENCODEL2	baseline		True	0.000297619047619	0.0003225806451612	False	False	True	False	5.08130081300813e-05	False	False	False
DHS_peaks_TrynkaL2	F_COMP	~~	SCZ_PGC	0.0059318516132404	1.0343057007056	3.44169023507683	0.798120138107082	0.0011092683073379	0.0	0	F_COMP~~SCZ_PGC				DHS_peaks_TrynkaL2	DHS_peaks_Trynka	DHS_peaks_TrynkaL2	baseline		True	0.000297619047619	0.0003225806451612	False	False	False	False	5.08130081300813e-05	False	True	False
DHS_TrynkaL2	F_COMP	~~	SCZ_PGC	0.0040586564102954	0.723598726178784	2.82815032913909	0.60350001963644	0.001225822738639	0.0	0	F_COMP~~SCZ_PGC				DHS_TrynkaL2	DHS_Trynka	DHS_TrynkaL2	baseline		True	0.000297619047619	0.0003225806451612	False	False	False	False	5.08130081300813e-05	False	True	False
Enhancer_AnderssonL2	F_COMP	~~	SCZ_PGC	0.0010098757347192	1.48817676810926				0.0	"lavaan->lav_lavaan_step11_estoptim():  
   the optimizer warns that a solution has NOT been found!"	F_COMP~~SCZ_PGC				Enhancer_AnderssonL2	Enhancer_Andersson	Enhancer_AnderssonL2	baseline		True	0.000297619047619	0.0003225806451612	False	False	True	False	5.08130081300813e-05	False	False	False
Enhancer_HoffmanL2	F_COMP	~~	SCZ_PGC	0.0009640327837785	1.27677695696508	1.97439213514643	0.770976004003456	0.103143306194164	0.0	0	F_COMP~~SCZ_PGC				Enhancer_HoffmanL2	Enhancer_Hoffman	Enhancer_HoffmanL2	baseline		True	0.000297619047619	0.0003225806451612	False	False	False	False	5.08130081300813e-05	False	True	False
FetalDHS_TrynkaL2	F_COMP	~~	SCZ_PGC	0.0038462770158872	0.940390543421378	2.76421127474809	0.868514500814435	0.021112415889465	0.0	"lavaan->lav_object_post_check():  
   some estimated ov variances are negative"	F_COMP~~SCZ_PGC				FetalDHS_TrynkaL2	FetalDHS_Trynka	FetalDHS_TrynkaL2	baseline		True	0.000297619047619	0.0003225806451612	False	False	True	False	5.08130081300813e-05	False	False	False
